Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content TypeAbstract,Title-fixec,Authors-fixed
Machine Learning and Data Mining,Introduction to Artificial Intelligence,,,,10.1007/978-3-319-58487-4_8,Wolfgang Ertel,2017,http://link.springer.com/chapter/10.1007/978-3-319-58487-4_8,Chapter,"One of the major AI applications is the development of intelligent autonomous robots. Since flexibility and adaptivity are important features of really intelligent agents, research into learning mechanisms and the development of machine learning algorithms is one of the most important branches of AI. After motivating and introducing basic concepts of machine learning like classification and approximation, this chapter presents basic supervised learning algorithms such as the perceptron, nearest neighbor methods and decision tree induction. Unsupervised clustering methods and data mining software tools complete the picture of this fascinating field.",Wolfgang Ertel,
Machine Learning and Data Mining,Introduction to Artificial Intelligence,,,,10.1007/978-0-85729-299-5_8,Prof. Dr. Wolfgang Ertel,2011,http://link.springer.com/chapter/10.1007/978-0-85729-299-5_8,Chapter,"One of the major AI applications is the development of intelligent autonomous robots. Since flexibility and adaptivity are important features of really intelligent agents, research into learning mechanisms and the development of machine learning algorithms is one of the most important branches of AI. After motivating and introducing basic concepts of machine learning like classification and approximation, this chapter presents basic supervised learning algorithms such as the perceptron, nearest neighbor methods and decision tree induction. Unsupervised clustering methods and data mining software tools complete the picture of this fascinating field.",Wolfgang Ertel,
"Drought Monitoring Using Data Mining Techniques: A Case Study for Nebraska, USA",Natural Hazards,,33,1,10.1023/B:NHAZ.0000035020.76733.0b,Tsegaye TadesseDonald A. WilhiteSherri K. HarmsMichael J. HayesSteve Goddard,2004,http://link.springer.com/article/10.1023/B%3ANHAZ.0000035020.76733.0b,Article,"Drought has an impact on many aspects of society. To help decision makers reduce the impacts of drought, it is important to improve our understanding of the characteristics and relationships of atmospheric and oceanic parameters that cause drought. In this study, the use of data mining techniques is introduced to find associations between drought and several oceanic and climatic indices that could help users in making knowledgeable decisions about drought responses before the drought actually occurs. Data mining techniques enable users to search for hidden patterns and find association rules for target data sets such as drought episodes. These techniques have been used for commercial applications, medical research, and telecommunications, but not for drought. In this study, two time-series data mining algorithms are used in Nebraska to illustrate the identification of the relationships between oceanic parameters and drought indices. The algorithms provide flexibility in time-series analyses and identify drought episodes separate from normal and wet conditions, and find relationships between drought and oceanic indices in a manner different from the traditional statistical associations. The drought episodes were determined based on the Standardized Precipitation Index (SPI) and Palmer Drought Severity Index (PDSI). Associations were observed between drought episodes and oceanic and atmospheric indices that include the Southern Oscillation Index (SOI), the Multivariate ENSO Index (MEI), the Pacific/North American (PNA) index, the North Atlantic Oscillation (NAO) Index, and the Pacific Decadal Oscillation (PDO) Index. The experimental results showed that among these indices, the SOI, MEI, and PDO have relatively stronger relationships with drought episodes over selected stations in Nebraska. Moreover, the study suggests that data mining techniques can help us to monitor drought using oceanic indices as a precursor of drought.","Tsegaye Tadesse, Donald A. Wilhite, Sherri K. Harms, Michael J. Hayes, Steve Goddard","Drought Monitoring Using Data Mining Techniques: A Case Study for Nebraska, USA"
A Self-organizing Sensing System for Structural Health Monitoring of Aerospace Vehicles,Advances in Applied Self-organizing Systems,,,,10.1007/978-1-84628-982-8_4,N. HoschkeC. J. LewisD. C. PriceD. A. ScottV. GerasimovP. Wang,2008,http://link.springer.com/chapter/10.1007/978-1-84628-982-8_4,Chapter,,"N. Hoschke, C. J. Lewis, D. C. Price, D. A. Scott, V. Gerasimov, P. Wang",
Statistical downscaling of precipitation using long short-term memory recurrent neural networks,Theoretical and Applied Climatology,,,,10.1007/s00704-017-2307-2,Saptarshi MisraSudeshna SarkarPabitra Mitra,2017,http://link.springer.com/article/10.1007/s00704-017-2307-2,Article,"Hydrological impacts of global climate change on regional scale are generally assessed by downscaling large-scale climatic variables, simulated by General Circulation Models (GCMs), to regional, small-scale hydrometeorological variables like precipitation, temperature, etc. In this study, we propose a new statistical downscaling model based on Recurrent Neural Network with Long Short-Term Memory which captures the spatio-temporal dependencies in local rainfall. The previous studies have used several other methods such as linear regression, quantile regression, kernel regression, beta regression, and artificial neural networks. Deep neural networks and recurrent neural networks have been shown to be highly promising in modeling complex and highly non-linear relationships between input and output variables in different domains and hence we investigated their performance in the task of statistical downscaling. We have tested this model on two datasets-one on precipitation in Mahanadi basin in India and the second on precipitation in Campbell River basin in Canada. Our autoencoder coupled long short-term memory recurrent neural network model performs the best compared to other existing methods on both the datasets with respect to temporal cross-correlation, mean squared error, and capturing the extremes.","Saptarshi Misra, Sudeshna Sarkar, Pabitra Mitra",Statistical downscaling of precipitation using long short-term memory recurrent neural networks
Formalizing Expert Knowledge Through Machine Learning,Global Perspectives on Service Science: Japan,,,,10.1007/978-1-4939-3594-9_11,Tsuyoshi Idé,2016,http://link.springer.com/chapter/10.1007/978-1-4939-3594-9_11,Chapter,"This chapter addresses one of the key questions in service science: how to formalize expert knowledge. While this question has been treated mainly as a task of formal language design, we use an alternative approach based on machine learning. Investigating the history of expert systems in artificial intelligence, we suggest that three criteria, generalizability, learnability, and actionability, are critical for extracted expert rules. We then conclude that machine learning is a promising tool to satisfy these criteria. As a real example, we perform a case study on a task of condition-based maintenance in the railway industry. We demonstrate that our proposed statistical outlier detection method achieves good performance for early anomaly detection in wheel axles, and thus in encoding expert knowledge.",Tsuyoshi Idé,
Data mining application on aviation accident data for predicting topmost causes for accidents,Cluster Computing,,,,10.1007/s10586-017-1394-2,S. KoteeswaranN. MalarvizhiE. KannanS. SasikalaS. Geetha,2017,http://link.springer.com/article/10.1007/s10586-017-1394-2,Article,"Aviation safety management system is a vital component of the aviation industry. Aviation safety inspectors apply a broad knowledge about aviation industry, aviation safety, and the central laws and regulations, and strategies affecting aviation. In addition, they put on severe technical knowledge and skill in the operation and maintenance of aircraft. Data mining methods also have been successfully applied in aviation safety management system. Aviation industry accumulates large amount of knowledge and data. This paper proposes a method that applied data mining technique on the accident reports of the Federal Aviation Administration (FAA) accident/incident data system database which contains accident data records for all categories of civil aviation between the years of 1919 and 2014. In this study, we have investigated the application of several data mining methods on the accidents reports, to arrive at new inferences that could help aviation management system. Moreover correlation based feature selection (CFS) with Oscillating Search Technique is used to select the number of prominent attributes that are potential factors causing maximum number of accidents in aircraft. The principle of this work is to find out the effective attributes in order to reduce the number of the accidents in the aviation industry. This proposed novel idea named ""improved oscillated correlation feature selection (IOCFS)"" is evaluated against the conventional classifiers like Na ve bayes, support vector machine (SVM), artificial neural network (ANN), k-nearest neighbor (k-NN), Multiclass classifier and decision tree (J48). The selected features are tested in terms of their accuracy, running time and reliability as in terms of true positive rate, false positive rate, precision, recall-measure and ROC. The results are seen to be the best for k-NN classifier on comparing with other conventional classifiers, with the value of k = 5.","S. Koteeswaran, N. Malarvizhi, E. Kannan, S. Sasikala, S. Geetha",Data mining application on aviation accident data for predicting topmost causes for accidents
Abstracts,Annals of Behavioral Medicine,,50,1,10.1007/s12160-015-9766-4,,2016,http://link.springer.com/article/10.1007/s12160-015-9766-4,Article,,,Abstracts
Pattern Trees: An Effective Machine Learning Approach,Forging New Frontiers: Fuzzy Pioneers II,,,,10.1007/978-3-540-73185-6_22,Zhiheng HuangMasoud NikraveshTam s D. GedeonBen Azvine,2008,http://link.springer.com/chapter/10.1007/978-3-540-73185-6_22,Chapter,"Fuzzy classification is one of the most important applications of fuzzy logic. Its goal is to find a set of fuzzy rules which describe classification problems. Most of the existing fuzzy rule induction methods (e.g., the fuzzy decision trees induction method) focus on searching rules consisting of t-norms (i.e., AND) only, but not t-conorms (OR) explicitly. This may lead to the omission of generating important rules which involve t-conorms explicitly. This paper proposes a type of tree termed pattern trees which make use of different aggregations including both t-norms and t-conorms. Like decision trees, pattern trees are an effective machine learning tool for classification applications. This paper discusses the difference between decision trees and pattern trees, and also shows that the subsethood based method (SBM) and the weighted subsethood based method (WSBM) are two specific cases of pattern trees, with each having a fixed pattern tree structure.","Zhiheng Huang, Masoud Nikravesh, Tam s D. Gedeon, Ben Azvine",
65TH ASMS Conference on Mass Spectrometry and Allied Topics,Journal of The American Society for Mass Spectrometry,,28,1,10.1007/s13361-017-1695-y,Judith Sjoberg,2017,http://link.springer.com/article/10.1007/s13361-017-1695-y,Article,,Judith Sjoberg,65TH ASMS Conference on Mass Spectrometry and Allied Topics
Predictive spatial niche and biodiversity hotspot models for small mammal communities in Alaska: applying machine-learning to conservation planning,Landscape Ecology,,30,4,10.1007/s10980-014-0150-8,Andrew P. BaltenspergerFalk Huettmann,2015,http://link.springer.com/article/10.1007/s10980-014-0150-8,Article,"Changing global environmental conditions, especially at northern latitudes, are threatening to shift species distributions and alter wildlife communities.","Andrew P. Baltensperger, Falk Huettmann",Predictive spatial niche and biodiversity hotspot models for small mammal communities in Alaska: applying machine-learning to conservation planning
64TH ASMS Conference on Mass Spectrometry and Allied Topics,Journal of The American Society for Mass Spectrometry,,27,1,10.1007/s13361-016-1413-1,Judith Sjoberg,2016,http://link.springer.com/article/10.1007/s13361-016-1413-1,Article,,Judith Sjoberg,64TH ASMS Conference on Mass Spectrometry and Allied Topics
Representing Data Mining Results,Introduction to Data Mining for the Life Sciences,,,,10.1007/978-1-59745-290-8_4,Rob Sullivan,2012,http://link.springer.com/chapter/10.1007/978-1-59745-290-8_4,Chapter,"How many different ways can we represent our data in order to convey its meaning to its intended audience? What is the most effective approach? Is one technique better than another? The answer depends on your data, your audience, and the message you are trying to convey. In this chapter, we provide context for the output of our analyses, discussing very traditional representation methodologies, including tables, histograms, graphs, and plots of various types, as well as some of the more creative approaches that have seen increasing mindshare as vehicles of communication across the Internet. We also include an important technique that spans both the algorithmic and representation concepts - trees and rules - since such techniques can be valuable for both explanation and input to other systems and show that not all representations necessarily need to be graphical.",Rob Sullivan,
Knowledge Discovery and Reasoning in Geospatial Applications,Scientific Data Mining and Knowledge Discovery,,,,10.1007/978-3-642-02788-8_10,Nabil SahliNafaa Jabeur,2010,http://link.springer.com/chapter/10.1007/978-3-642-02788-8_10,Chapter,"In the last decade and following the big advent in remote sensing, terabytes of geographic data have been collected on a daily basis. However, the wealth of geographic data cannot be fully realized when information implicit in data is difficult to discern. This confronts researchers with an urgent need for new methods and tools for automatically transform geographic data into information and, furthermore, synthesize geographic knowledge. New approaches in geographic representation, query processing, spatial analysis, and data visualization [1, 2] are thus necessary. Geo-referenced data sets include geographical objects, locations or administrative sub-divisions of a region. The geographical location and extension of these objects define implicit relationships of spatial neighborhood.Knowledge Discovery (KD) in databases is a process that aims at the discovery of relationships within data sets. Data Mining, the focus of this chapter, is the central step of this process. It corresponds to the application of algorithms for identifying patterns within data. The Data Mining algorithms have to take this spatial neighborhood into account when looking for associations among data. They must evaluate if the geographic component has any influence in the patterns that can be identified or if it is responsible for a pattern. Most of the geographical attributes normally found in organizational databases (e.g., addresses) correspond to a type of spatial information, namely qualitative, which can be described using indirect positioning systems. In systems of spatial referencing using geographic identifiers, a position is referenced with respect to a real world location defined by a real world object. This object represents a location that is identified by a geographic identifier (more details can be found in Chapter Spatial Techniques). These geographic identifiers are very common in organizational databases, and they allow the integration of the spatial component associated with them in the process of knowledge discovery.","Nabil Sahli, Nafaa Jabeur",
"THE  NUTS AND BOLTS  OF BEHAVIORAL INTERVENTION DEVELOPMENT: STUDY DESIGNS, METHODS AND FUNDING OPPORTUNITIES",Annals of Behavioral Medicine,,51,1,10.1007/s12160-017-9903-3,,2017,http://link.springer.com/article/10.1007/s12160-017-9903-3,Article,,,"THE  NUTS AND BOLTS  OF BEHAVIORAL INTERVENTION DEVELOPMENT: STUDY DESIGNS, METHODS AND FUNDING OPPORTUNITIES"
